service_id,date,exception_type
5,20200703,1
5,20200704,1
5,20200705,1
5,20200706,1
5,20200707,1
5,20200708,1
5,20200709,1
5,20200710,1
5,20200711,1
5,20200712,1
5,20200713,1
5,20200714,1
5,20200715,1
5,20200716,1
5,20200717,1
5,20200718,1
5,20200719,1
5,20200720,1
5,20200721,1
5,20200722,1
5,20200723,1
5,20200724,1
5,20200725,1
5,20200726,1
5,20200727,1
5,20200728,1
5,20200729,1
5,20200730,1
5,20200731,1
5,20200801,1
5,20200802,1
5,20200803,1
5,20200804,1
5,20200805,1
5,20200806,1
5,20200807,1
5,20200808,1
5,20200809,1
5,20200810,1
5,20200811,1
5,20200812,1
5,20200813,1
5,20200814,1
5,20200815,1
5,20200816,1
6,20200619,1
6,20200620,1
6,20200621,1
6,20200622,1
6,20200623,1
6,20200624,1
6,20200625,1
6,20200626,1
6,20200627,1
6,20200628,1
6,20200629,1
6,20200630,1
6,20200701,1
6,20200702,1
6,20200703,1
6,20200704,1
6,20200705,1
6,20200706,1
6,20200707,1
6,20200708,1
6,20200709,1
6,20200710,1
6,20200711,1
6,20200712,1
6,20200713,1
6,20200714,1
6,20200715,1
6,20200716,1
6,20200717,1
6,20200718,1
6,20200719,1
6,20200720,1
6,20200721,1
6,20200722,1
6,20200723,1
6,20200724,1
6,20200725,1
6,20200726,1
6,20200727,1
6,20200728,1
6,20200729,1
6,20200730,1
6,20200731,1
6,20200801,1
6,20200802,1
6,20200803,1
6,20200804,1
6,20200805,1
6,20200806,1
6,20200807,1
6,20200808,1
6,20200809,1
6,20200810,1
6,20200811,1
6,20200812,1
6,20200813,1
6,20200814,1
6,20200815,1
6,20200816,1
7,20200618,1
8,20200619,1
8,20200620,1
8,20200621,1
8,20200622,1
8,20200623,1
8,20200624,1
8,20200625,1
8,20200626,1
8,20200627,1
8,20200628,1
8,20200629,1
8,20200630,1
8,20200701,1
8,20200702,1
8,20200703,1
8,20200704,1
8,20200728,1
8,20200729,1
8,20200730,1
8,20200731,1
8,20200801,1
8,20200802,1
8,20200803,1
8,20200804,1
8,20200805,1
8,20200806,1
8,20200807,1
8,20200808,1
8,20200809,1
8,20200810,1
8,20200811,1
8,20200812,1
8,20200813,1
8,20200814,1
8,20200815,1
8,20200816,1
9,20200704,1
9,20200705,1
9,20200706,1
9,20200707,1
9,20200708,1
9,20200709,1
9,20200710,1
9,20200711,1
9,20200712,1
9,20200713,1
9,20200714,1
9,20200715,1
9,20200716,1
9,20200717,1
9,20200718,1
9,20200719,1
9,20200720,1
9,20200721,1
9,20200722,1
9,20200723,1
9,20200724,1
9,20200725,1
9,20200726,1
10,20200619,1
10,20200622,1
10,20200623,1
10,20200624,1
10,20200625,1
10,20200626,1
10,20200627,1
10,20200629,1
10,20200630,1
10,20200701,1
10,20200702,1
10,20200703,1
10,20200727,1
10,20200728,1
10,20200729,1
10,20200730,1
10,20200731,1
10,20200801,1
10,20200803,1
10,20200804,1
10,20200805,1
10,20200806,1
10,20200807,1
10,20200808,1
10,20200810,1
10,20200811,1
10,20200812,1
10,20200813,1
10,20200814,1
10,20200815,1
11,20200619,1
11,20200620,1
11,20200621,1
11,20200622,1
11,20200623,1
11,20200624,1
11,20200625,1
11,20200626,1
11,20200627,1
11,20200628,1
11,20200629,1
11,20200630,1
11,20200701,1
11,20200702,1
11,20200703,1
11,20200726,1
11,20200727,1
11,20200728,1
11,20200729,1
11,20200730,1
11,20200731,1
11,20200801,1
11,20200802,1
11,20200803,1
11,20200804,1
11,20200805,1
11,20200806,1
11,20200807,1
11,20200808,1
11,20200809,1
11,20200810,1
11,20200811,1
11,20200812,1
11,20200813,1
11,20200814,1
11,20200815,1
11,20200816,1
12,20200705,1
12,20200711,1
12,20200712,1
12,20200718,1
12,20200719,1
12,20200725,1
12,20200726,1
13,20200619,1
13,20200620,1
13,20200621,1
13,20200627,1
13,20200628,1
13,20200704,1
13,20200801,1
13,20200802,1
13,20200808,1
13,20200809,1
13,20200815,1
13,20200816,1
14,20200621,1
14,20200628,1
14,20200704,1
14,20200705,1
14,20200706,1
14,20200707,1
14,20200708,1
14,20200709,1
14,20200710,1
14,20200711,1
14,20200712,1
14,20200713,1
14,20200714,1
14,20200715,1
14,20200716,1
14,20200717,1
14,20200718,1
14,20200719,1
14,20200720,1
14,20200721,1
14,20200722,1
14,20200723,1
14,20200724,1
14,20200725,1
14,20200726,1
14,20200802,1
14,20200809,1
14,20200816,1
15,20200705,1
15,20200706,1
15,20200707,1
15,20200708,1
15,20200709,1
15,20200710,1
15,20200711,1
15,20200712,1
15,20200713,1
15,20200714,1
15,20200715,1
15,20200716,1
15,20200717,1
15,20200718,1
15,20200719,1
15,20200720,1
15,20200721,1
15,20200722,1
15,20200723,1
15,20200724,1
15,20200725,1
15,20200726,1
15,20200727,1
16,20200619,1
16,20200620,1
16,20200626,1
16,20200627,1
16,20200703,1
16,20200731,1
16,20200801,1
16,20200807,1
16,20200808,1
16,20200814,1
16,20200815,1
17,20200619,1
17,20200620,1
17,20200622,1
17,20200623,1
17,20200624,1
17,20200625,1
17,20200626,1
17,20200627,1
17,20200629,1
17,20200630,1
17,20200701,1
17,20200702,1
17,20200703,1
17,20200727,1
17,20200728,1
17,20200729,1
17,20200730,1
17,20200731,1
17,20200801,1
17,20200803,1
17,20200804,1
17,20200805,1
17,20200806,1
17,20200807,1
17,20200808,1
17,20200810,1
17,20200811,1
17,20200812,1
17,20200813,1
17,20200814,1
17,20200815,1
18,20200706,1
18,20200707,1
18,20200708,1
18,20200709,1
18,20200710,1
18,20200713,1
18,20200714,1
18,20200715,1
18,20200716,1
18,20200717,1
18,20200720,1
18,20200721,1
18,20200722,1
18,20200723,1
18,20200724,1
19,20200622,1
19,20200623,1
19,20200624,1
19,20200625,1
19,20200626,1
19,20200629,1
19,20200630,1
19,20200701,1
19,20200702,1
19,20200703,1
19,20200727,1
19,20200728,1
19,20200729,1
19,20200730,1
19,20200731,1
19,20200803,1
19,20200804,1
19,20200805,1
19,20200806,1
19,20200807,1
19,20200810,1
19,20200811,1
19,20200812,1
19,20200813,1
19,20200814,1
20,20200618,1
20,20200622,1
20,20200623,1
20,20200624,1
20,20200625,1
20,20200626,1
20,20200629,1
20,20200630,1
20,20200701,1
20,20200702,1
20,20200703,1
20,20200706,1
20,20200707,1
20,20200708,1
20,20200709,1
20,20200710,1
20,20200713,1
20,20200714,1
20,20200715,1
20,20200716,1
20,20200717,1
20,20200720,1
20,20200721,1
20,20200722,1
20,20200723,1
20,20200724,1
20,20200727,1
20,20200728,1
20,20200729,1
20,20200730,1
20,20200731,1
20,20200803,1
20,20200804,1
20,20200805,1
20,20200806,1
20,20200807,1
20,20200810,1
20,20200811,1
20,20200812,1
20,20200813,1
20,20200814,1
21,20200620,1
21,20200621,1
21,20200628,1
21,20200705,1
21,20200712,1
21,20200719,1
21,20200726,1
21,20200802,1
21,20200809,1
21,20200816,1
22,20200619,1
22,20200627,1
22,20200704,1
22,20200711,1
22,20200718,1
22,20200725,1
22,20200801,1
22,20200808,1
22,20200815,1
23,20200619,1
23,20200620,1
23,20200627,1
23,20200704,1
23,20200711,1
23,20200718,1
23,20200725,1
23,20200801,1
23,20200808,1
23,20200815,1
24,20200626,1
24,20200703,1
24,20200710,1
24,20200717,1
24,20200724,1
24,20200731,1
24,20200807,1
24,20200814,1
25,20200618,1
25,20200622,1
25,20200623,1
25,20200624,1
25,20200625,1
25,20200629,1
25,20200630,1
25,20200701,1
25,20200702,1
25,20200706,1
25,20200707,1
25,20200708,1
25,20200709,1
25,20200713,1
25,20200714,1
25,20200715,1
25,20200716,1
25,20200720,1
25,20200721,1
25,20200722,1
25,20200723,1
25,20200727,1
25,20200728,1
25,20200729,1
25,20200730,1
25,20200803,1
25,20200804,1
25,20200805,1
25,20200806,1
25,20200810,1
25,20200811,1
25,20200812,1
25,20200813,1
26,20200621,1
26,20200628,1
26,20200705,1
26,20200712,1
26,20200719,1
26,20200726,1
26,20200802,1
26,20200809,1
26,20200816,1
27,20200618,1
27,20200619,1
27,20200620,1
27,20200622,1
27,20200623,1
27,20200624,1
27,20200625,1
27,20200626,1
27,20200627,1
27,20200629,1
27,20200630,1
27,20200701,1
27,20200702,1
27,20200703,1
27,20200704,1
27,20200706,1
27,20200707,1
27,20200708,1
27,20200709,1
27,20200710,1
27,20200711,1
27,20200713,1
27,20200714,1
27,20200715,1
27,20200716,1
27,20200717,1
27,20200718,1
27,20200720,1
27,20200721,1
27,20200722,1
27,20200723,1
27,20200724,1
27,20200725,1
27,20200727,1
27,20200728,1
27,20200729,1
27,20200730,1
27,20200731,1
27,20200801,1
27,20200803,1
27,20200804,1
27,20200805,1
27,20200806,1
27,20200807,1
27,20200808,1
27,20200810,1
27,20200811,1
27,20200812,1
27,20200813,1
27,20200814,1
27,20200815,1
28,20200620,1
29,20200619,1
29,20200626,1
29,20200627,1
29,20200703,1
29,20200704,1
29,20200710,1
29,20200711,1
29,20200717,1
29,20200718,1
29,20200724,1
29,20200725,1
29,20200731,1
29,20200801,1
29,20200807,1
29,20200808,1
29,20200814,1
29,20200815,1
30,20200619,1
31,20200618,1
31,20200619,1
31,20200622,1
31,20200623,1
31,20200624,1
31,20200625,1
31,20200626,1
31,20200627,1
31,20200629,1
31,20200630,1
31,20200701,1
31,20200702,1
31,20200703,1
31,20200704,1
31,20200706,1
31,20200707,1
31,20200708,1
31,20200709,1
31,20200710,1
31,20200711,1
31,20200713,1
31,20200714,1
31,20200715,1
31,20200716,1
31,20200717,1
31,20200718,1
31,20200720,1
31,20200721,1
31,20200722,1
31,20200723,1
31,20200724,1
31,20200725,1
31,20200727,1
31,20200728,1
31,20200729,1
31,20200730,1
31,20200731,1
31,20200801,1
31,20200803,1
31,20200804,1
31,20200805,1
31,20200806,1
31,20200807,1
31,20200808,1
31,20200810,1
31,20200811,1
31,20200812,1
31,20200813,1
31,20200814,1
31,20200815,1
32,20200618,1
32,20200620,1
32,20200621,1
32,20200622,1
32,20200623,1
32,20200624,1
32,20200625,1
32,20200626,1
32,20200628,1
32,20200629,1
32,20200630,1
32,20200701,1
32,20200702,1
32,20200703,1
32,20200705,1
32,20200706,1
32,20200707,1
32,20200708,1
32,20200709,1
32,20200710,1
32,20200712,1
32,20200713,1
32,20200714,1
32,20200715,1
32,20200716,1
32,20200717,1
32,20200719,1
32,20200720,1
32,20200721,1
32,20200722,1
32,20200723,1
32,20200724,1
32,20200726,1
32,20200727,1
32,20200728,1
32,20200729,1
32,20200730,1
32,20200731,1
32,20200802,1
32,20200803,1
32,20200804,1
32,20200805,1
32,20200806,1
32,20200807,1
32,20200809,1
32,20200810,1
32,20200811,1
32,20200812,1
32,20200813,1
32,20200814,1
32,20200816,1
33,20200622,1
33,20200623,1
33,20200624,1
33,20200625,1
33,20200626,1
34,20200620,1
34,20200621,1
34,20200622,1
34,20200623,1
34,20200624,1
34,20200625,1
34,20200626,1
34,20200628,1
34,20200629,1
34,20200630,1
34,20200701,1
34,20200702,1
34,20200703,1
34,20200705,1
34,20200706,1
34,20200707,1
34,20200708,1
34,20200709,1
34,20200710,1
34,20200712,1
34,20200713,1
34,20200714,1
34,20200715,1
34,20200716,1
34,20200717,1
34,20200719,1
34,20200720,1
34,20200721,1
34,20200722,1
34,20200723,1
34,20200724,1
34,20200726,1
34,20200727,1
34,20200728,1
34,20200729,1
34,20200730,1
34,20200731,1
34,20200802,1
34,20200803,1
34,20200804,1
34,20200805,1
34,20200806,1
34,20200807,1
34,20200809,1
34,20200810,1
34,20200811,1
34,20200812,1
34,20200813,1
34,20200814,1
34,20200816,1
35,20200619,1
35,20200620,1
35,20200621,1
36,20200620,1
36,20200621,1
36,20200627,1
36,20200628,1
36,20200704,1
36,20200705,1
36,20200711,1
36,20200712,1
36,20200718,1
36,20200719,1
36,20200725,1
36,20200726,1
36,20200801,1
36,20200802,1
36,20200808,1
36,20200809,1
36,20200815,1
36,20200816,1
37,20200618,1
37,20200619,1
37,20200620,1
37,20200621,1
37,20200627,1
37,20200628,1
37,20200704,1
37,20200705,1
37,20200711,1
37,20200712,1
37,20200718,1
37,20200719,1
37,20200725,1
37,20200726,1
37,20200801,1
37,20200802,1
37,20200808,1
37,20200809,1
37,20200815,1
37,20200816,1
38,20200619,1
38,20200622,1
38,20200623,1
38,20200624,1
38,20200625,1
38,20200626,1
38,20200627,1
38,20200628,1
38,20200629,1
38,20200630,1
38,20200701,1
38,20200702,1
38,20200703,1
38,20200704,1
38,20200705,1
38,20200706,1
38,20200707,1
38,20200708,1
38,20200709,1
38,20200710,1
38,20200711,1
38,20200712,1
38,20200713,1
38,20200714,1
38,20200715,1
38,20200716,1
38,20200717,1
38,20200718,1
38,20200719,1
38,20200720,1
38,20200721,1
38,20200722,1
38,20200723,1
38,20200724,1
38,20200725,1
38,20200726,1
38,20200727,1
38,20200728,1
38,20200729,1
38,20200730,1
38,20200731,1
38,20200801,1
38,20200802,1
38,20200803,1
38,20200804,1
38,20200805,1
38,20200806,1
38,20200807,1
38,20200808,1
38,20200810,1
38,20200811,1
38,20200812,1
38,20200813,1
38,20200814,1
38,20200815,1
39,20200620,1
39,20200621,1
39,20200809,1
39,20200816,1
